cycle,instructions,LLC-load-misses,hostname
926068107,795520645,309057,kb-w33
791859059,504756044,202069,kb-w33
531093582,317747926,173041,kb-w33
555293079,223725209,96552,kb-w33
247095241,279375850,96083,kb-w33
533465789,886103768,66666,kb-w33
457596173,333022545,141083,kb-w33
414600158,271784960,92620,kb-w33
141524896,236081787,78498,kb-w33
559365690,627381874,73799,kb-w33
295398135,184903842,69373,kb-w33
444739448,241585978,97517,kb-w33
364392943,280175470,63747,kb-w33
635713670,616352534,74959,kb-w33
371478999,276265075,155743,kb-w33
500062507,578156128,76738,kb-w33
432867522,293783176,62909,kb-w33
495452366,295242801,172727,kb-w33
372122942,229898219,75994,kb-w33
656182079,461726114,127747,kb-w33
303463085,187376864,60883,kb-w33
512156092,270583759,191489,kb-w33
378425502,254961908,143414,kb-w33
491309504,478001210,96292,kb-w33
405553615,416636759,62107,kb-w33
621151088,650489241,132630,kb-w33
437883184,356521522,64993,kb-w33
603468716,369401593,101068,kb-w33
334876552,175675100,104697,kb-w33
509127929,241584567,161452,kb-w33
290693398,225429859,106568,kb-w33
560991751,346414577,197775,kb-w33
453045405,273206691,290060,kb-w33
1100538873,970304659,1485491,kb-w33
979287343,806965998,250187,kb-w33
688843754,569182219,117452,kb-w33
235860494,125722300,105639,kb-w33
621719612,340380637,148739,kb-w33
652532462,442160742,121148,kb-w33
673991929,697686654,84476,kb-w33
416413875,251936059,88471,kb-w33
481327113,216021519,115824,kb-w33
386540444,293788811,74888,kb-w33
585969726,361074742,275320,kb-w33
345610205,320765895,94237,kb-w33
749446133,683184964,108654,kb-w33
446223815,273739737,127038,kb-w33
530787306,441270433,116386,kb-w33
407130320,474620395,97810,kb-w33
501230646,708392882,106338,kb-w33
539931840,336052303,127246,kb-w33
732922268,560377683,129613,kb-w33
440948772,297644673,81368,kb-w33
469180720,225621974,132288,kb-w33
401832994,296868116,68641,kb-w33
653104693,713462116,111451,kb-w33
503055666,290141779,128387,kb-w33
533443575,245589136,119117,kb-w33
426051811,181946728,94336,kb-w33
538365778,268086191,132570,kb-w33
